Update 0: {'0': 0, '1': 0, '2': 0}
Update 131: {'0': -6.636483423220415, '1': -9.144875814119334, '2': -11.051813523929107}
Update 132: {'0': -6.638275112028264, '1': -9.146667502927183, '2': -11.053605212736954}
Update 133: {'0': -6.639995133283799, '1': -9.148387524182716, '2': -11.05532523399249}
Update 134: {'0': -6.6416463536891115, '1': -9.15003874458803, '2': -11.056976454397804}
Update 135: {'0': -6.643231525278214, '1': -9.151623916177131, '2': -11.058561625986904}
Update 136: {'0': -6.6447532900037505, '1': -9.153145680902668, '2': -11.06008339071244}
Update 137: {'0': -6.646214184140264, '1': -9.154606575039182, '2': -11.061544284848956}
Update 138: {'0': -6.647616642511318, '1': -9.156009033410237, '2': -11.06294674322001}
Update 139: {'0': -6.648963002547532, '1': -9.15735539344645, '2': -11.064293103256222}
Update 140: {'0': -6.650255508182296, '1': -9.158647899081213, '2': -11.065585608890986}
Update 141: {'0': -6.651496313591669, '1': -9.159888704490587, '2': -11.066826414300358}
Update 142: {'0': -6.652687486784668, '1': -9.161079877683584, '2': -11.068017587493358}
Update 143: {'0': -6.6538310130499445, '1': -9.162223403948863, '2': -11.069161113758636}
Update 144: {'0': -6.654928798264612, '1': -9.16332118916353, '2': -11.070258898973304}
Update 145: {'0': -6.655982672070692, '1': -9.164375062969611, '2': -11.071312772779383}
Update 146: {'0': -6.656994390924531, '1': -9.165386781823448, '2': -11.072324491633221}
Update 147: {'0': -6.657965641024214, '1': -9.166358031923131, '2': -11.073295741732906}
Update 148: {'0': -6.65889804111991, '1': -9.167290432018829, '2': -11.074228141828602}
Update 149: {'0': -6.659793145211779, '1': -9.168185536110698, '2': -11.07512324592047}
Update 150: {'0': -6.660652445139974, '1': -9.169044836038891, '2': -11.075982545848664}
Update 151: {'0': -6.661477373071039, '1': -9.169869763969956, '2': -11.07680747377973}
Update 152: {'0': -6.662269303884861, '1': -9.17066169478378, '2': -11.077599404593553}
Update 153: {'0': -6.663029557466132, '1': -9.171421948365051, '2': -11.078359658174822}
Update 154: {'0': -6.663759400904153, '1': -9.17215179180307, '2': -11.079089501612842}
Update 155: {'0': -6.664460050604652, '1': -9.172852441503569, '2': -11.079790151313341}
Update 156: {'0': -6.665132674317131, '1': -9.173525065216047, '2': -11.08046277502582}
Update 157: {'0': -6.665778393081109, '1': -9.174170783980028, '2': -11.081108493789799}
Update 158: {'0': -6.66639828309453, '1': -9.17479067399345, '2': -11.08172838380322}
Update 159: {'0': -6.666993377507415, '1': -9.175385768406333, '2': -11.082323478216106}
Update 160: {'0': -6.6675646681437835, '1': -9.175957059042702, '2': -11.082894768852473}
Update 161: {'0': -6.6681131071546975, '1': -9.176505498053615, '2': -11.083443207863388}
Update 162: {'0': -6.668639608605174, '1': -9.177031999504093, '2': -11.083969709313866}
Update 163: {'0': -6.669145049997633, '1': -9.17753744089655, '2': -11.084475150706325}
Update 164: {'0': -6.669630273734392, '1': -9.17802266463331, '2': -11.084960374443083}
Update 165: {'0': -6.670096088521682, '1': -9.1784884794206, '2': -11.085426189230372}
Update 166: {'0': -6.670543270717481, '1': -9.178935661616398, '2': -11.085873371426171}
Update 167: {'0': -6.670972565625446, '1': -9.179364956524363, '2': -11.086302666334138}
Update 168: {'0': -6.671384688737092, '1': -9.179777079636011, '2': -11.086714789445784}
Update 169: {'0': -6.671780326924274, '1': -9.180172717823194, '2': -11.087110427632965}
Update 170: {'0': -6.672160139583969, '1': -9.180552530482888, '2': -11.08749024029266}
Update 171: {'0': -6.672524759737277, '1': -9.180917150636194, '2': -11.087854860445967}
Update 172: {'0': -6.672874795084451, '1': -9.18126718598337, '2': -11.08820489579314}
Update 173: {'0': -6.673210829017737, '1': -9.181603219916656, '2': -11.088540929726427}
Update 174: {'0': -6.673533421593694, '1': -9.181925812492612, '2': -11.088863522302384}
Update 175: {'0': -6.67384311046661, '1': -9.182235501365529, '2': -11.089173211175302}
Update 176: {'0': -6.674140411784611, '1': -9.182532802683529, '2': -11.089470512493303}
Update 177: {'0': -6.6744258210498915, '1': -9.18281821194881, '2': -11.089755921758583}
Update 178: {'0': -6.67469981394456, '1': -9.18309220484348, '2': -11.09002991465325}
Update 179: {'0': -6.674962847123444, '1': -9.183355238022362, '2': -11.090292947832134}
Update 180: {'0': -6.675215358975171, '1': -9.18360774987409, '2': -11.090545459683863}
Update 181: {'0': -6.67545777035283, '1': -9.183850161251748, '2': -11.090787871061522}
Update 182: {'0': -6.675690485275382, '1': -9.184082876174301, '2': -11.091020585984074}
Update 183: {'0': -6.6759138916010325, '1': -9.18430628249995, '2': -11.091243992309725}
Update 184: {'0': -6.676128361673655, '1': -9.184520752572574, '2': -11.091458462382347}
Update 185: {'0': -6.676334252943375, '1': -9.184726643842293, '2': -11.091664353652066}
Update 186: {'0': -6.676531908562305, '1': -9.184924299461223, '2': -11.091862009270995}
Update 187: {'0': -6.676721657956477, '1': -9.185114048855397, '2': -11.092051758665168}
Update 188: {'0': -6.676903817374884, '1': -9.185296208273801, '2': -11.092233918083574}
Update 189: {'0': -6.677078690416553, '1': -9.18547108131547, '2': -11.092408791125244}
Update 190: {'0': -6.677246568536555, '1': -9.185638959435474, '2': -11.092576669245247}
Update 191: {'0': -6.677407731531758, '1': -9.185800122430678, '2': -11.092737832240449}
Update 192: {'0': -6.677562448007155, '1': -9.18595483890607, '2': -11.092892548715845}
Update 193: {'0': -6.677710975823532, '1': -9.18610336672245, '2': -11.093041076532224}
Update 194: {'0': -6.677853562527256, '1': -9.186245953426173, '2': -11.093183663235948}
Update 195: {'0': -6.6779904457628305, '1': -9.18638283666175, '2': -11.093320546471523}
Update 196: {'0': -6.6781218536689835, '1': -9.186514244567903, '2': -11.093451954377674}
Update 197: {'0': -6.67824800525889, '1': -9.18664039615781, '2': -11.09357810596758}
